cuisine,ingredient,weight
Rose Sauce Tteokbokki,chopped garlic,1T
Rose Sauce Tteokbokki,cooking oil,1T
Soothing Golbaengi Seasoned,Whelk,one can
Soothing Golbaengi Seasoned,apologize,2-Jan
Soothing Golbaengi Seasoned,onion,2-Jan
Soothing Golbaengi Seasoned,soothe,bundle
Soothing Golbaengi Seasoned,Cheongyang Pepper,3-Feb
Soothing Golbaengi Seasoned,chili pepper paste,2Ts
Soothing Golbaengi Seasoned,chili powder,2Ts
Soothing Golbaengi Seasoned,soy sauce,1Ts
Soothing Golbaengi Seasoned,chopped garlic,0.5Ts
Soothing Golbaengi Seasoned,sugar,1Ts
Soothing Golbaengi Seasoned,corn syrup,1Ts
Soothing Golbaengi Seasoned,lemon juice,0.5Ts
Soothing Golbaengi Seasoned,vinegar,3Ts
Soothing Golbaengi Seasoned,Sesame oil,1Ts
Okonomiyaki,cabbage,1/8 barrel
Okonomiyaki,bacon,Chapter 5
Okonomiyaki,onion,one
Okonomiyaki,enoki mushroom,half
Okonomiyaki,frozen shrimp,wisp
Okonomiyaki,calamari,half
Okonomiyaki,Cheongyang Pepper,one
Okonomiyaki,egg,one
Okonomiyaki,pancake powder,two cups
Okonomiyaki,pepper powder,half a teaspoon
Okonomiyaki,mayonnaise,little
Okonomiyaki,Tonkatsu Sauce,a little
Okonomiyaki,water,one cup
Okonomiyaki,cooking oil,a little
Chicken Pasta,pasta noodles,100 won coin size
Chicken Pasta,Cherry tomato,10 things
Chicken Pasta,onion,One
Chicken Pasta,chicken breast,3 pieces
Chicken Pasta,bacon,3 lines
Chicken Pasta,milk,1 cup
Chicken Pasta,ketchup,1 tbsp
Chicken Pasta,hot sauce,a little
Chicken Pasta,chili powder,1T
Chicken Pasta,basil,1 t
Chicken Pasta,salt,1 t
Chicken Pasta,pepper,1 t
Chicken Pasta,cooking wine,2t
Chicken Pasta,lemon juice,1 t
Cockle Seasoned Seasoning,cockle,400g
Cockle Seasoned Seasoning,soy sauce,2Ts
Cockle Seasoned Seasoning,chili powder,2 tsp
Cockle Seasoned Seasoning,red pepper,a little
Cockle Seasoned Seasoning,chopped garlic,1 tsp
Cockle Seasoned Seasoning,sesame salt,1 tsp
Cockle Seasoned Seasoning,Sesame oil,tsp
Cockle Seasoned Seasoning,Chopped green onion,1Ts
Top 5 winter snacks to make at home,Please check the ingredient information on each recipe detail page :),0
Golden Recipe TOP5,Please check the ingredient information on each recipe detail page :),0
Top 5 Cheese Recipes,Please check the ingredient information on each recipe detail page :),0
Homemade cooking TOP5,Please check the ingredients on each detail page :),0
Gochujang Stew,Pork Neck,150g
Gochujang Stew,anchovy,1 zoom
Gochujang Stew,Kelp,Chapter 2
Gochujang Stew,potato,One
Gochujang Stew,onion,2-Jan
Gochujang Stew,squash,2-Jan
Gochujang Stew,carrot,3-Jan
Gochujang Stew,Shiitake mushrooms,2
Gochujang Stew,tofu,1/2 hair
Gochujang Stew,green pepper,One
Gochujang Stew,red pepper,One
Gochujang Stew,cooking oil,a little
Gochujang Stew,chili pepper paste,3T
Gochujang Stew,soy sauce,2T
Gochujang Stew,corn syrup,2T
Gochujang Stew,chopped garlic,1T
all-purpose soy sauce,pork tenderloin,600g
all-purpose soy sauce,soy sauce,6 cups
all-purpose soy sauce,sugar,1 cup
Pork Neck Skewers,pork neck,200g
Pork Neck Skewers,green onion,2
Pork Neck Skewers,Rice wine,1T
Pork Neck Skewers,minced ginger,1 teaspoon
Pork Neck Skewers,pepper powder,a little
Pork Neck Skewers,brown sugar,2 tbsp
Pork Neck Skewers,ginger,One
Pork Neck Skewers,soy sauce,2 tbsp
Pork Neck Skewers,Rice wine,2 tbsp
Menbosha,shrimp,20
Menbosha,bread,Chapter 4
Menbosha,egg (white),One
Menbosha,salt,1 pinch
Menbosha,pepper,1 pinch
Menbosha,potato starch,1.5 tbsp
Menbosha,cooking oil,Appropriate amount
Jajangmyeon,calamari,1
Jajangmyeon,pork belly,300g
Jajangmyeon,Udongsaengmyeon,2 servings
Jajangmyeon,squash,2-Jan
Jajangmyeon,Yujacheong,1/2 cup
Jajangmyeon,Chunjang,1/2 cup
Jajangmyeon,button mushrooms,Three
Jajangmyeon,green onion,2-Jan
Jajangmyeon,chopped garlic,1 tbsp
Jajangmyeon,minced ginger,1/2 tbsp
Jajangmyeon,onion,One
Jajangmyeon,pepper,One
Jajangmyeon,Oyster Sauce,2 tbsp
Jajangmyeon,canola oil,5 tbsp
Jajangmyeon,starch,1 tbsp
Mussel Jjambbong,mussel,20
Mussel Jjambbong,green onion,2
Mussel Jjambbong,cotton wool,servings
Mussel Jjambbong,chili oil,a little
Mussel Jjambbong,carrot,One
Mussel Jjambbong,spinach,One
Mussel Jjambbong,napa cabbage,One
Mussel Jjambbong,red pepper,2
Mussel Jjambbong,Cheongyang Pepper,2
Mussel Jjambbong,onion,2
Mussel Jjambbong,garlic,5 pieces
Fresh Fruit Yogurt,yogurt,300 ml
Fresh Fruit Yogurt,mandarin,One
Fresh Fruit Yogurt,banana,One
Fresh Fruit Yogurt,strawberry,5 pieces
Fresh Fruit Yogurt,apologize,1/4 page
Fresh Fruit Yogurt,nuts,handful
Fresh Fruit Yogurt,dried cranberries,1 spoon
Fresh Fruit Yogurt,frozen blueberries,4 spoons
souffl? game meringue,chocolate,One
souffl? game meringue,coffee milk,1/3 cup
souffl? game meringue,sugar,1/2 cup
souffl? game meringue,frozen blueberries,10 pills
souffl? game meringue,egg,One
souffl? game meringue,powdered sugar,a little
Pork belly rice bowl,pork belly,150g
Pork belly rice bowl,rice,1 air
Pork belly rice bowl,furikake,1 bag
chili mushroom,birdsong,2
chili mushroom,Blue/red bell pepper,1/4 each
chili mushroom,egg,One
chili mushroom,starch powder,2 tbsp
chili mushroom,onion,4-Jan
chili mushroom,cucumber,a little
chili mushroom,ketchup,3 tbsp
chili mushroom,hot sauce,1 tbsp
chili mushroom,vinegar,1 tbsp
chili mushroom,sugar,1 teaspoon
Oriental Chicken Salad,Smoked Chicken Breast,pair
Oriental Chicken Salad,by paprika color,1/3 each
Oriental Chicken Salad,big lettuce,wisp
Oriental Chicken Salad,young leafy vegetables,half a zoom
Oriental Chicken Salad,salary,a little
Oriental Chicken Salad,bread,pair
Oriental Chicken Salad,chopped onion,4-Jan
Oriental Chicken Salad,lemon vinegar,1/4 cup
Oriental Chicken Salad,soy sauce,1Ts
Oriental Chicken Salad,olive oil,1/4 cup
Oriental Chicken Salad,Perilla Sesame Powder,0.5Ts
Oriental Chicken Salad,Sesame oil,0.5Ts
Oriental Chicken Salad,oligosaccharide,1.5Ts
Oriental Chicken Salad,egg yolk,3-Jan
Dumpling Skin Sujebi,dumpling skin,Chapter 8
Dumpling Skin Sujebi,Kelp,1 page
Dumpling Skin Sujebi,anchovy,2
Dumpling Skin Sujebi,green onion root,One
Dumpling Skin Sujebi,onion,2-Jan
Dumpling Skin Sujebi,carrot,4-Jan
Dumpling Skin Sujebi,potatoes (small),2
Dumpling Skin Sujebi,seaweed,Chapter 3
Dumpling Skin Sujebi,chopped garlic,1 pinch
Dumpling Skin Sujebi,egg,1 pill
Curry Seafood Porridge,rice,Appropriate amount
Curry Seafood Porridge,Seaweed,a little
Curry Seafood Porridge,abalone,nice to have
Curry Seafood Porridge,chopped garlic,a little
Curry Seafood Porridge,shellfish,as long as you are at home
Curry Seafood Porridge,shrimp,as long as you are at home
Curry Seafood Porridge,Shiitake mushrooms,other mushrooms
Curry Seafood Porridge,curry powder,a little
Kimchi Cheese Fried Rice,rice,1 air
Kimchi Cheese Fried Rice,ham,30g
Kimchi Cheese Fried Rice,green onion,1/2 unit
Kimchi Cheese Fried Rice,egg,One
Kimchi Cheese Fried Rice,Sesame oil,3/2 tbsp
Kimchi Cheese Fried Rice,garlic,1 grain
Kimchi Cheese Fried Rice,pizza cheese,1 bag
Kimchi Cheese Fried Rice,chili pepper paste,2 teaspoons
Kimchi Cheese Fried Rice,sugar,1/2 teaspoon
Kimchi Cheese Fried Rice,kimchi,1/2 cup
Onion Tips,onion,One
Kimchi rolls,kimchi,1/2 give up
Kimchi rolls,pork neck,6 ply
Kimchi rolls,onion,One
Kimchi rolls,green onion,2-Jan
Kimchi rolls,Rice wine,1/2 cup
Kimchi rolls,soy sauce,2 tablespoons
Kimchi rolls,sugar,1 tablespoon
Kimchi rolls,chili powder,1 tablespoon
Kimchi rolls,pepper,1 tablespoon
Kimchi rolls,chopped garlic,1 tablespoon
Push Push Bar Crunch Bar,Ppusheoppuseo or ramen noodles,one
Push Push Bar Crunch Bar,Nuts such as anchovies & almonds,handful
Push Push Bar Crunch Bar,Rice Taffy,4 spoons
Push Push Bar Crunch Bar,sugar,1 spoon
lemon curd,lemon,half the size of the prepared glass jar
lemon curd,sugar,equivalent to lemon
lemon curd,baking soda,a little
lemon curd,vinegar,a little
lemon curd,glass bottle,One
Gorgonzola Cream Pasta,Gorgonzola Cheese,by symbol
Gorgonzola Cream Pasta,onion,half
Gorgonzola Cream Pasta,White Mushroom,5 pieces
Gorgonzola Cream Pasta,whipping cream,250ml
Gorgonzola Cream Pasta,parsley powder,a little
Dango,glutinous rice flour,300g
Dango,salt,1 pinch
Dango,sugar,1 tablespoon
red rice cake,bread,Chapter 4
red rice cake,Hotteok Jam Mix,One
red rice cake,nuts,1 zoom
potato chips,potato,Three
potato chips,salt,2t
potato chips,Parmesan Cheese Powder,2t
potato chips,parsley powder,1 t
Cheese Egg Roll,egg,4 pieces
Cheese Egg Roll,mozzarella cheese,1 zoom
Cheese Egg Roll,mayonnaise,2 tbsp
Cheese Egg Roll,chopped garlic,1/2 tbsp
Cheese Egg Roll,salt,1/3 teaspoon
Cheese Egg Roll,pepper powder,a little
Cheese Egg Roll,chopped garlic,1/2 tbsp
Cheese Egg Roll,cooking oil,2 tbsp
knife tip,onion,One
Galbijjim,Pork barbecue,600g
Galbijjim,onion,One
Galbijjim,carrot,One
Galbijjim,potato,One
Galbijjim,night,10 pills
Galbijjim,green onion,2 roots
Galbijjim,soy sauce,8 tbsp
Galbijjim,sugar,5 tbsp
Galbijjim,Chopped green onion,2 tbsp
Galbijjim,chopped garlic,1 tbsp
Galbijjim,sesame salt,2 teaspoons
Galbijjim,pepper,1 teaspoon
Galbijjim,Sesame oil,1 tbsp
dried persimmon roll,Persimmon,10 things
dried persimmon roll,pine nut,1/2 cup
dried persimmon roll,walnut,1/2 cup
Bandit Skewers,beef,200g
Bandit Skewers,carrot,2-Jan
Bandit Skewers,Chives,10 lines
Bandit Skewers,king oyster mushroom,One
Bandit Skewers,crab meat,5 lines
Bandit Skewers,egg,2
Bandit Skewers,flour,5 tbsp
Bandit Skewers,salt,a little
Bandit Skewers,pepper,a little
Bandit Skewers,cooking oil,a little
Pumpkin War,squash,One
Pumpkin War,king oyster mushroom,Three
Pumpkin War,egg,2
Pumpkin War,flour,1/2 cup
Pumpkin War,crown daisy,1 zoom
Pumpkin War,red pepper,One
Pumpkin War,green pepper,One
Pumpkin War,cooking oil,a little
Japchae,noodle,200g
Japchae,oyster mushroom,Doojum
Japchae,pork,120g
Japchae,carrot,half
Japchae,onion,half
Japchae,spinach,100g
Japchae,soy sauce,3 tbsp
Japchae,salt,a little
Japchae,pepper,a little
Japchae,Sesame oil,a little
Japchae,sesame,a little
Japchae,cooking oil,a little
Bacon Cheese Ball,bacon,6 lines
Bacon Cheese Ball,string cheese,2 lines
Side dishes,Please check the description of each material :),0
Corn Quesadilla,sweet corn,1/2 cup
Corn Quesadilla,"Green, red bell pepper",20g each
Corn Quesadilla,pizza cheese,100g
Corn Quesadilla,Tortilla,Chapter 4
Corn Quesadilla,mayonnaise,2 tbsp
Corn Quesadilla,sugar,1 teaspoon
Corn Quesadilla,pepper powder,a little
Yaki Curry,solid curry,2 pieces
Yaki Curry,rice,2 air
Yaki Curry,mozzarella cheese,100g
Yaki Curry,Cheddar Cheese,1 page
Yaki Curry,egg,2
Yaki Curry,carrot,30g
Yaki Curry,Pork Soup Street,80g
Yaki Curry,potato,One
Yaki Curry,parsley powder,a little
Yaki Curry,pepper powder,a little
buffalo wings,chicken wings,20
buffalo wings,pepper powder,little
buffalo wings,curry powder,little
buffalo wings,soy sauce,4 tablespoons
buffalo wings,chili powder,1 tablespoon
buffalo wings,sugar,3 tablespoons
buffalo wings,corn syrup,1 tablespoon
buffalo wings,chopped garlic,1 tablespoon
buffalo wings,hot sauce,3 tablespoons
buffalo wings,parsley,1 pinch
New Year's Day Leftovers,Please check the description of each material :),0
Egg Salad,leafy vegetables,Appropriate amount
Egg Salad,egg,5 pieces
Egg Salad,Cherry tomato,5 pieces
Egg Salad,cucumber,15g
Egg Salad,red paprika,15g
Egg Salad,Parmesan Cheese Powder,1 tbsp
Egg Salad,mayonnaise,2 tbsp
Egg Salad,sweet corn,2 tbsp
Egg Salad,salt,a little
Egg Salad,pepper powder,a little
Egg Salad,black sesame,a little
chocolate,Please check the description of each material :),0
white chocolate,white chocolate,200g
white chocolate,freeze dried fruit,50g
white chocolate,dried fruit,50g
Pretzel Chocolate,dark chocolate,200g
Pretzel Chocolate,pretzel,1 zoom
Pretzel Chocolate,pepper powder,a little
Beef perilla seaweed porridge,Seaweed,1 zoom
Beef perilla seaweed porridge,beef,50g
Beef perilla seaweed porridge,rice,1/2 air
Beef perilla seaweed porridge,Sesame oil,a little
Beef perilla seaweed porridge,Perilla Sesame Powder,a little
kelp wrap,Kelp,Chapter 4
kelp wrap,paprika,2-Jan
kelp wrap,apologize,4-Jan
kelp wrap,carrot,2-Jan
kelp wrap,canned chicken breast,One
kelp wrap,onion,One
kelp wrap,mustard,a little
kelp wrap,mayonnaise,3T
kelp wrap,pepper,a little
kelp wrap,mustard powder,2t
kelp wrap,sugar,2t
kelp wrap,vinegar,1 t
Petit Gorgonzola Pizza,Gorgonzola Cheese,as you like
Petit Gorgonzola Pizza,White Mushroom,Three
Petit Gorgonzola Pizza,dumpling skin,Chapter 4
Petit Gorgonzola Pizza,walnut,half a zoom
Petit Gorgonzola Pizza,butter,half a teaspoon
Petit Gorgonzola Pizza,pepper powder,a pinch
Petit Gorgonzola Pizza,basil powder,a teaspoon
Petit Gorgonzola Pizza,honey,3 tbsp
Spicy Bomb Steamed Egg,egg,Three
Spicy Bomb Steamed Egg,Cheddar Cheese,1 page
Spicy Bomb Steamed Egg,Cheongyang Pepper,2
Spicy Bomb Steamed Egg,Sesame oil,1 tbsp
Spicy Bomb Steamed Egg,salt,1/2 teaspoon
Spicy Bomb Steamed Egg,sugar,1/2 teaspoon
Spicy Bomb Steamed Egg,Sesame,1 teaspoon
Spicy Bomb Steamed Egg,salted shrimp,1/4 teaspoon
Stir-fried webfoot octopus,Sesame,Chapter 5
Stir-fried webfoot octopus,cabbage,1/4 can
Stir-fried webfoot octopus,onion,One
Stir-fried webfoot octopus,Cheongyang Pepper,Three
Stir-fried webfoot octopus,green onion,2-Jan
Stir-fried webfoot octopus,webfoot octopus,7 pieces
Stir-fried webfoot octopus,sugar,1 tablespoon
Stir-fried webfoot octopus,chili powder,3 tablespoons
Stir-fried webfoot octopus,corn syrup,1 tablespoon
Stir-fried webfoot octopus,plum extract,1 tablespoon
Stir-fried webfoot octopus,coarse salt,1 tablespoon
Stir-fried webfoot octopus,soy sauce,tablespoon
Stir-fried webfoot octopus,chopped garlic,2 tablespoons
Stir-fried webfoot octopus,Sesame oil,1 tablespoon
Stir-fried webfoot octopus,Tortilla,Chapter 2
Stir-fried webfoot octopus,pizza cheese,2 bags
Stir-fried webfoot octopus,honey,1 tablespoon
Stir-fried webfoot octopus,parsley,a little
Chili Curry Risotto,onion,One
Chili Curry Risotto,olive,10 pills
Chili Curry Risotto,bacon,2 lines
Chili Curry Risotto,Chicken tenderloin,2 pieces
Chili Curry Risotto,chili powder,1 tbsp
Chili Curry Risotto,curry powder,1.5 tbsp
Chili Curry Risotto,rice,1 cup
Chili Curry Risotto,milk,1 cup
Chili Curry Risotto,basil,a little
Chili Curry Risotto,salt,a little
Chili Curry Risotto,pepper,a little
Chili Curry Risotto,olive oil,a little
Chili Curry Risotto,again,a little
chocolate,Oreo Cookie,15
chocolate,White Coverture Chocolate,200g
chocolate,Dark Cover Chocolate,200g
chocolate,cereal,1/2 bag
chocolate,strawberry,1 pack
Brussels sprouts and bacon rolls,Brussels sprouts,2
Brussels sprouts and bacon rolls,bacon,Chapter 4
Brussels sprouts and bacon rolls,olive oil,1T
Brussels sprouts and bacon rolls,wooden skewer,8
Yakisoba Bread,Chapagetti,One
Yakisoba Bread,twisted pickled radish,a little
Yakisoba Bread,mayonnaise,a little
Yakisoba Bread,hot dog bread,2
Convenience store dishes,Please check the description of each material :),0
Silken tofu flying fish roe bibimbap,silken tofu,1/2 hair
Silken tofu flying fish roe bibimbap,furikake,a little
Silken tofu flying fish roe bibimbap,flying fish roe,2 tbsp
Silken tofu flying fish roe bibimbap,rice,1 air
Silken tofu flying fish roe bibimbap,[Sauce] Soy sauce,2 tbsp
Silken tofu flying fish roe bibimbap,sesame salt,2 tbsp
Silken tofu flying fish roe bibimbap,vinegar,1/2 tbsp
Silken tofu flying fish roe bibimbap,chili powder,1 tbsp
Silken tofu flying fish roe bibimbap,Sesame oil,a little
Hwangtae Egg Soup,radish,1 piece
Hwangtae Egg Soup,Pollack,1 zoom
Hwangtae Egg Soup,salt,a little
Hwangtae Egg Soup,Sesame oil,5T
Hwangtae Egg Soup,rice water,5 cups
Hwangtae Egg Soup,Cheongyang Pepper,Three
Hwangtae Egg Soup,egg,2
Hwangtae Egg Soup,onion,2-Jan
Hwangtae Egg Soup,chopped garlic,1T
Sweet Potato Tips,sweet potato,One
egg,egg,1st edition
Cobb Salad,avocado,half
Cobb Salad,bacon,3 lines
Cobb Salad,egg,One
Cobb Salad,olive,5 pieces
Cobb Salad,onion,4-Jan
Cobb Salad,tomato,4-Jan
Cobb Salad,Vegetables for Salad,one pack
Cobb Salad,Oriental Sauce,a little
Cream Sauce Neck Steak,neck cut,2 chunks
Cream Sauce Neck Steak,cream sauce,Banton
Cream Sauce Neck Steak,onion,4-Jan
Cream Sauce Neck Steak,button mushrooms,One
Cream Sauce Neck Steak,garlic,2
Cream Sauce Neck Steak,Cheddar Cheese,a little
real carbonara,pasta,1 serving
real carbonara,bacon,5 lines
real carbonara,Parmesan Cheese,three tablespoons
real carbonara,pepper,a little
real carbonara,salt,a little
real carbonara,egg,2
Kimchi Burrito,cold rice,1 serving
Kimchi Burrito,Tortilla,one piece
Kimchi Burrito,kimchi,half a cup
Kimchi Burrito,cheese,wisp
Kimchi Burrito,rose sauce,a little
Kimchi Burrito,red pepper,half
Kimchi Burrito,onion,4-Jan
Chinese cabbage stew,napa cabbage,1/4 can
Chinese cabbage stew,Oyster Sauce,half a spoon
Chinese cabbage stew,chili oil,half a spoon
Chinese cabbage stew,sugar,a little
Chinese cabbage stew,red bell pepper,4-Jan
Chinese cabbage stew,green bell pepper,4-Jan
Chinese cabbage stew,Cheongyang Pepper,half
Chinese cabbage stew,green onion,3-Jan
Chinese cabbage stew,vinegar,half a spoon
mama rice,rice,1 serving
mama rice,egg,One
mama rice,chicken breast,one can
mama rice,black olive,5 pieces
Gamjatang Ramen,Roe potato,5 pieces
Gamjatang Ramen,Anseongtangmyeon,One
Gamjatang Ramen,Perilla flour,a tablespoon
Gamjatang Ramen,Sesame,Chapter 5
Shrimp Bisque,shrimp,5
Shrimp Bisque,tomato paste,120mL
Shrimp Bisque,salt,1/2t
Shrimp Bisque,pepper,1/3t
Shrimp Bisque,cooking wine,2T
Shrimp Bisque,chopped garlic,1 t
Shrimp Bisque,butter,1T
Shrimp Bisque,lemon,4-Jan
Shrimp Bisque,water,550 mL
Shrimp Bisque,coriander leaves,a little
Soft Tofu Caprese,soft tofu,1/2 pack
Soft Tofu Caprese,tomato,1-2 pieces (small size)
Soft Tofu Caprese,soy sauce,1T
Soft Tofu Caprese,vinegar,1T
Soft Tofu Caprese,sugar,1/2T
Soft Tofu Caprese,Sesame oil,1 t
Soft Tofu Caprese,Sesame,1 t
Soft Tofu Caprese,lemon,4-Jan
Soft Tofu Caprese,Cilantro,a little
Mussel Fish Cake Soup,Skewered fish cake,4 pieces
Mussel Fish Cake Soup,mussel,200g
Mussel Fish Cake Soup,water,750mL
Mussel Fish Cake Soup,udon sauce,2T
Mussel Fish Cake Soup,again,1/2t
Mussel Fish Cake Soup,salt,1 t
Mussel Fish Cake Soup,pepper,1/3t
Mussel Fish Cake Soup,green onion,1 root
Shrimp broccoli skewers,shrimp,4
Shrimp broccoli skewers,cut broccoli,4 pieces
Shrimp broccoli skewers,BBQ Sauce,1T
Shrimp broccoli skewers,Teriyaki Sauce,1T
Shrimp broccoli skewers,cooking oil,1T
Shrimp broccoli skewers,pepper,a little
Bullnak Sukiyaki,Beef Sirloin Slices,250g
Bullnak Sukiyaki,Octopus,200g
Bullnak Sukiyaki,napa cabbage,200g
Bullnak Sukiyaki,White Mushroom,6 pieces
Bullnak Sukiyaki,green onion,2 roots
Bullnak Sukiyaki,noodle,100g
Bullnak Sukiyaki,butter,1 t
Bullnak Sukiyaki,egg yolk,One
Bullnak Sukiyaki,Sesame oil,1 t
Bullnak Sukiyaki,Sesame,1 t
Fried Asparagus,asparagus,4 pieces
Fried Asparagus,frying powder,1 cup
Fried Asparagus,egg,2
Fried Asparagus,bread crumbs,1 cup
Fried Asparagus,cooking oil,250 mL
Mushroom sweet and sour pork,king oyster mushroom,Three
Mushroom sweet and sour pork,Blue & Red bell pepper,1/3 each
Mushroom sweet and sour pork,onion,3-Jan
Mushroom sweet and sour pork,lemon,One
Mushroom sweet and sour pork,cooking oil,500mL
Mushroom sweet and sour pork,potato starch,6T
Mushroom sweet and sour pork,bread crumbs,4T
Mushroom sweet and sour pork,water,250 mL
Mushroom sweet and sour pork,salt,1 t
Mexican dope corn,precooked corn,1 (cooked corn)
Mexican dope corn,mayonnaise,1T
Mexican dope corn,butter,1T
Mexican dope corn,fine red pepper powder,1T
Mexican dope corn,Parmesan Cheese Powder,2T
Mexican dope corn,parsley powder,a little
Jeonjjigae,nokdujeon,Chapter 2
Jeonjjigae,round polka dot,8
Jeonjjigae,Cabbage,wisp
Jeonjjigae,enoki mushroom,one
Jeonjjigae,radish,wisp
Jeonjjigae,onion,2-Jan
Jeonjjigae,green onion,1/2 root
Jeonjjigae,Cheongyang Pepper,4 pieces
Jeonjjigae,chili powder,2~3Ts
Jeonjjigae,soy sauce,2Ts
Jeonjjigae,salted shrimp,2Ts
Jeonjjigae,garlic,1Ts
Cabbage Tomato Juice,tomato,Three
Cabbage Tomato Juice,Shredded Cabbage,a fist
Cabbage Tomato Juice,yogurt,150g
Cabbage Tomato Juice,water,1/2 cup
Sweet Potato Cheese Ball,sweet potato,Three
Sweet Potato Cheese Ball,cheese,200g
Pollack Roe Cheese Egg Roll,egg,Three
Pollack Roe Cheese Egg Roll,pepper,a little
Pollack Roe Cheese Egg Roll,cod roe,3-Feb
Pollack Roe Cheese Egg Roll,cheese,one piece
Chicken Skewers,Chicken tenderloin,one pack
Chicken Skewers,green onion,2
Chicken Skewers,chopped garlic,a little
Chicken Skewers,pepper,a little
Chicken Skewers,Mirin,half a spoon
Chicken Skewers,soy sauce,2 tablespoons
Chicken Skewers,oligosaccharide,2 tablespoons
Webfoot octopus fondue,milk,a little
Webfoot octopus fondue,Cheddar Cheese,Chapter 2
Webfoot octopus fondue,Mozzarella,wisp
Webfoot octopus fondue,Webfoot octopus,200g
Webfoot octopus fondue,chili pepper paste,one and a half tablespoons
Webfoot octopus fondue,oligosaccharide,a tablespoon
Webfoot octopus fondue,pepper,a little
Webfoot octopus fondue,chopped garlic,a little
Webfoot octopus fondue,cayenne pepper,a little
Oven Roasted Chicken,chicken,1
Oven Roasted Chicken,olive oil,1/2 cup
Oven Roasted Chicken,lemon,One
Grilled Back Ribs with Pomegranate Sauce,back ribs,1kg
Grilled Back Ribs with Pomegranate Sauce,Pomegranate,One
Grilled Back Ribs with Pomegranate Sauce,onion,One
Grilled Back Ribs with Pomegranate Sauce,garlic,5 pieces
Grilled Back Ribs with Pomegranate Sauce,whole black pepper,a little
Grilled Back Ribs with Pomegranate Sauce,bay leaf,Chapter 10
Grilled Back Ribs with Pomegranate Sauce,[Sauce] Lemon juice,1 tbsp
Grilled Back Ribs with Pomegranate Sauce,honey,1 tbsp
Grilled Back Ribs with Pomegranate Sauce,BBQ Sauce,4 tbsp
Grilled Back Ribs with Pomegranate Sauce,ketchup,3 tbsp
Grilled Back Ribs with Pomegranate Sauce,Steak Sauce,1 tbsp
Grilled Back Ribs with Pomegranate Sauce,sugar,a little
Grilled Back Ribs with Pomegranate Sauce,salt,a little
Grilled Back Ribs with Pomegranate Sauce,basil,a little
Grilled Back Ribs with Pomegranate Sauce,pepper,a little
Mapo tofu rice bowl,tofu,1/2 hair
Mapo tofu rice bowl,soy sauce,4 tablespoons
Mapo tofu rice bowl,chili pepper paste,1 tablespoon
Mapo tofu rice bowl,chili powder,3 tablespoons
Mapo tofu rice bowl,chopped garlic,2 tablespoons
Mapo tofu rice bowl,soybean paste,1/2 tablespoon
Mapo tofu rice bowl,sugar,3 tablespoons
Mapo tofu rice bowl,hot sauce,1 tablespoon
Mapo tofu rice bowl,green onion,3-Jan
Mapo tofu rice bowl,onion,4-Jan
Mapo tofu rice bowl,frozen round tuna,Three
Mapo tofu rice bowl,starch powder,2 tablespoons
Squid stir fry,[Required] Cuttlefish,2 zoom
Squid stir fry,onion,4-Jan
Squid stir fry,mayonnaise,1 tbsp
Squid stir fry,Sesame oil,a little
Squid stir fry,Sesame,a little
Squid stir fry,[Seasoning] Gochujang,1.5 tbsp
Squid stir fry,honey,1.5 tbsp
Squid stir fry,chopped garlic,0.5 tbsp
Conde Chocolate,dark chocolate,200g
Conde Chocolate,almond,100g
Conde Chocolate,sugar,40g
Conde Chocolate,butter,10g
Conde Chocolate,water,2 tbsp
Tortilla Pizza,Tortilla,Chapter 2
Tortilla Pizza,tomato sauce,1 cup
Tortilla Pizza,onion,2-Jan
Tortilla Pizza,mozzarella cheese,2 cups
Tortilla Pizza,bacon,2 lines
Tortilla Pizza,pineapple,2 slices
Butanabe,bean sprouts,3 zoom
Butanabe,Flat Pork Belly,400g
Butanabe,ginger,2
Butanabe,soju,1 cup
cooking class,Detailed ingredient information and recipes can be viewed on the Hammuk Namnyeo app after the cooking class is over.,0
tuna wrap,Cheongyang Pepper,One
tuna wrap,tuna,1 can
tuna wrap,garlic,2
tuna wrap,chili powder,1 tablespoon
tuna wrap,water,1/2 cup
Seafood Curry,mussel,30
Seafood Curry,Curry,1.5 Servings
Seafood Curry,onion,One
Seafood Curry,garlic,page 8
Seafood Curry,soft tofu,1 bag
Seafood Curry,calamari,2-Jan
Seafood Curry,Kelp,a little
Seafood Curry,salt,a little
Seafood Curry,pepper,a little
Seafood Curry,cooking wine,a little
Chocolate Marshmallow Toast,Bread (Bread and bagels are OK!),One
Chocolate Marshmallow Toast,marshmallow,8
Chocolate Marshmallow Toast,Chocolate Syrup (Nutella),3 tbsp
Chocolate Marshmallow Toast,nuts,2 tbsp
Chocolate Marshmallow Toast,dried cranberries,10g
Chocolate Marshmallow Toast,maple syrup,1 tbsp
Budae Jjigae,Sari Gomtang Noodles,One
Budae Jjigae,sausage,Three
Budae Jjigae,ham,40g
Budae Jjigae,green onion,1/3 unit
Budae Jjigae,Kimchi,4 stems
Budae Jjigae,dumpling,4 pieces
Budae Jjigae,tofu,1/4 hair
Budae Jjigae,chili powder,2 tbsp
Budae Jjigae,chili pepper paste,1 teaspoon
Budae Jjigae,sugar,1 teaspoon
Budae Jjigae,Mirin,2 tbsp
Hotcake Hamburger,hot cake powder,250g
Hotcake Hamburger,milk,90 ml
Hotcake Hamburger,egg,One
